"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Markdown", "JavaScript React", "XML", "SCSS", "comment", "blank", "total"
"d:\WebDev\webots_test\client\src\javascript\firebase.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\WebDev\webots_test\client\src\javascript\imageImports.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"d:\WebDev\webots_test\client\src\javascript\scrolling.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 4, 15, 91
"d:\WebDev\webots_test\controllers\dashboardController.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\WebDev\webots_test\controllers\homepageController.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\WebDev\webots_test\controllers\leaderboardController.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\WebDev\webots_test\models\query.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\WebDev\webots_test\models\school.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\WebDev\webots_test\models\university.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\WebDev\webots_test\package-lock.json", "JSON", 1593, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1594
"d:\WebDev\webots_test\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\WebDev\webots_test\routes\dashboardRoutes.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\WebDev\webots_test\routes\homepageRoutes.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\WebDev\webots_test\routes\leaderboardRoutes.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"Total", "-", 30268, 343, 31, 555, 38, 1302, 117, 1, 152, 412, 33219
